timestamp,fuente,categoria,nombre,marca,precio_min,precio_max,precio,presentacion,ean,sucursales_disponibles,lat,lng
2025-12-12 22:16:56.590193,PreciosClaros,leche entera,Leche Entera 3% Uat La Serenisima 1 Lt,LA SERENÍSIMA,2480.0,2482.0,2480.0,1.0 lt,7790742335500,16,-34.6037,-58.3816
2025-12-12 22:16:56.590213,PreciosClaros,leche entera,Leche Entera Clasica 3 % Fortificada Tetra La Serenisima 200 Ml,LA SERENÍSIMA,1090.0,1090.0,1090.0,200.0 ml,7790742357205,2,-34.6037,-58.3816
2025-12-12 22:16:56.590223,PreciosClaros,leche entera,Leche Entera en Sachet Coto 1 Lt,COTO,1390.0,1390.0,1390.0,1.0 lt,7798039600058,2,-34.6037,-58.3816
2025-12-12 22:16:56.590230,PreciosClaros,leche entera,Leche Entera Ilolay 1 Lt,ILOLAY,2049.0,2049.0,2049.0,1.0 lt,7790787002528,2,-34.6037,-58.3816
2025-12-12 22:16:56.590237,PreciosClaros,leche entera,Leche Entera Larga Vida Milkaut 1 Lt,MILKAUT,2100.0,2100.0,2100.0,1.0 lt,7794820903100,14,-34.6037,-58.3816
2025-12-12 22:16:56.590244,PreciosClaros,leche entera,Leche Entera Larga Vida Tradicion Tres Niñas 1 Lt,TRES NIÑAS,2250.0,2290.0,2250.0,1.0 lt,7798338290028,16,-34.6037,-58.3816
2025-12-12 22:16:56.590258,PreciosClaros,leche entera,Leche Entera Larga Vida Vitamina A y D Ciudad Del Lago 1 Lt,CIUDAD DEL LAGO,1189.0,1189.0,1189.0,1.0 lt,12-1-2800000798505,2,-34.6037,-58.3816
2025-12-12 22:16:56.590265,PreciosClaros,leche entera,Leche Entera Uat Larga Vida Dia 1 Lt,DÍA,1690.0,1690.0,1690.0,1.0 lt,8480017006080,14,-34.6037,-58.3816
2025-12-12 22:16:56.590271,PreciosClaros,leche entera,Leche Entera UAT Larga Vida en Carton Coto 1 Lt,COTO,1799.0,1799.0,1799.0,1.0 lt,7798039600034,2,-34.6037,-58.3816
2025-12-12 22:16:56.590278,PreciosClaros,leche entera,Leche Entera UAT Larga Vida Tregar 1 Lt,TREGAR,2040.0,2040.0,2040.0,1.0 lt,7793913001822,14,-34.6037,-58.3816
2025-12-12 22:16:56.590284,PreciosClaros,leche entera,Casanto Leche Entera 3 Sachet Casanto 1 Lt,CASANTO,1290.0,1525.0,1290.0,1.0 lt,7790742192301,16,-34.6037,-58.3816
2025-12-12 22:16:56.590290,PreciosClaros,leche entera,Leche en Polvo Entera Bolsa La Serenisima 200 Gr,LA SERENÍSIMA,3236.0,3236.0,3236.0,200.0 gr,7790742436108,2,-34.6037,-58.3816
2025-12-12 22:16:56.590296,PreciosClaros,leche entera,Leche en Polvo Entera con Vitaminas Purisima 200 Gr,PURÍSIMA,2670.0,2670.0,2670.0,200.0 gr,7798095171721,14,-34.6037,-58.3816
2025-12-12 22:16:56.590302,PreciosClaros,leche entera,Leche en Polvo Entera Dia 400 Gr,DÍA,5050.0,5050.0,5050.0,400.0 gr,8480017034595,14,-34.6037,-58.3816
2025-12-12 22:16:56.590314,PreciosClaros,leche entera,Leche en Polvo Entera Dia 800 Gr,DÍA,9100.0,9100.0,9100.0,800.0 gr,8480017297013,14,-34.6037,-58.3816
2025-12-12 22:16:56.590320,PreciosClaros,leche entera,Leche en Polvo Entera Fortificada Santa Clara 400 Gr,SANTA CLARA,4649.0,4649.0,4649.0,400.0 gr,7798312320390,2,-34.6037,-58.3816
2025-12-12 22:16:56.590333,PreciosClaros,leche entera,Leche en Polvo Entera La Serenisima 400 Gr,LA SERENÍSIMA,6178.0,6178.0,6178.0,400.0 gr,7790742436306,2,-34.6037,-58.3816
2025-12-12 22:16:56.590339,PreciosClaros,leche entera,Leche en Polvo Entera Zero Lactosa La Serenisima 400 Gr,LA SERENÍSIMA,7914.0,7914.0,7914.0,400.0 gr,7790742436504,2,-34.6037,-58.3816
2025-12-12 22:16:56.590345,PreciosClaros,leche entera,Leche Larga Vida Entera Clasica 3% La Serenisima 1 Lt,LA SERENISIMA,2365.0,2365.0,2365.0,1.0 lt,7790742363008,16,-34.6037,-58.3816
2025-12-12 22:16:58.481615,PreciosClaros,leche descremada,Leche Descremada 0 Uat Tetra Las Tres Ninas 1 Lt,LAS TRES NIÑAS,2290.0,2290.0,2290.0,1.0 lt,7798338290301,2,-34.6037,-58.3816
2025-12-12 22:16:58.481629,PreciosClaros,leche descremada,Leche Descremada 2% Sachet Casanto 1 Lt,CASANTO,1290.0,1525.0,1290.0,1.0 lt,7790742192202,16,-34.6037,-58.3816
2025-12-12 22:16:58.481636,PreciosClaros,leche descremada,Leche Descremada Barista Larga Vida Botella La Serenisima 1 Lt,LA SERENÍSIMA,2539.0,2539.0,2539.0,1.0 lt,7790742358400,2,-34.6037,-58.3816
2025-12-12 22:16:58.481643,PreciosClaros,leche descremada,Leche Descremada en Sachet Coto 1 Lt,COTO,1390.0,1390.0,1390.0,1.0 lt,7798039600065,2,-34.6037,-58.3816
2025-12-12 22:16:58.481649,PreciosClaros,leche descremada,Leche Descremada Larga Vida Vitamina A y D Ciudad Del Lago 1 Lt,CIUDAD DEL LAGO,1189.0,1189.0,1189.0,1.0 lt,12-1-2800000798512,2,-34.6037,-58.3816
2025-12-12 22:16:58.481656,PreciosClaros,leche descremada,Leche Descremada Protein Larga Vida Uat La Serenisima 1 Lt,LA SERENÍSIMA,2539.0,2540.0,2539.0,1.0 lt,7790742358608,16,-34.6037,-58.3816
2025-12-12 22:16:58.481662,PreciosClaros,leche descremada,Leche Descremada Sachet 1Casanto 1 Lt,CASANTO,1290.0,1525.0,1290.0,1.0 lt,7790742192103,16,-34.6037,-58.3816
2025-12-12 22:16:58.481675,PreciosClaros,leche descremada,Leche Descremada Uat 0 La Serenisima 1 Lt,LA SERENÍSIMA,2482.0,2482.0,2482.0,1.0 lt,7790742335302,2,-34.6037,-58.3816
2025-12-12 22:16:58.481681,PreciosClaros,leche descremada,Leche Descremada UAT Fortificada con Vitamina A y D Coto 1 Lt,COTO,1799.0,1799.0,1799.0,1.0 lt,7798039600041,2,-34.6037,-58.3816
2025-12-12 22:16:58.481688,PreciosClaros,leche descremada,Leche Descremada Uat Fortificada Hierro Botella 1 La Serenisima 1 Lt,LA SERENÍSIMA,2539.0,2539.0,2539.0,1.0 lt,7790742335807,2,-34.6037,-58.3816
2025-12-12 22:16:58.481694,PreciosClaros,leche descremada,Leche Descremada Uat Larga Vida Dia 1 Lt,DÍA,1690.0,1690.0,1690.0,1.0 lt,8480017005045,14,-34.6037,-58.3816
2025-12-12 22:16:58.481700,PreciosClaros,leche descremada,Leche Descremada Uat Vitamina Extra Calcio Botella La Serenisima 1 Lt,LA SERENÍSIMA,2539.0,2539.0,2539.0,1.0 lt,7790742335906,2,-34.6037,-58.3816
2025-12-12 22:16:58.481706,PreciosClaros,leche descremada,Leche Descremada Uht Las Tres Niñas 1 Lt,LAS TRES NIÑAS,2250.0,2290.0,2250.0,1.0 lt,7798338290035,16,-34.6037,-58.3816
2025-12-12 22:16:58.481712,PreciosClaros,leche descremada,Bebida a Base de Leche Descremada Proteina Chocolate La Serenisima Ttb 1 Lt,LA SERENÍSIMA,3975.0,3975.0,3975.0,1.0 lt,7790742172105,2,-34.6037,-58.3816
2025-12-12 22:16:58.481719,PreciosClaros,leche descremada,Leche Condensada Descremada Nestle 395 Gr,NESTLÉ,4768.0,4770.0,4768.0,395.0 gr,8445290883858,16,-34.6037,-58.3816
2025-12-12 22:16:58.481724,PreciosClaros,leche descremada,Leche Condensada Descremada sin TACC Nestle 395 Gr,NESTLÉ,4768.0,4768.0,4768.0,395.0 gr,8445290900654,2,-34.6037,-58.3816
2025-12-12 22:16:58.481731,PreciosClaros,leche descremada,Leche en Polvo Descremada Dia 400 Gr,DÍA,5050.0,5050.0,5050.0,400.0 gr,8480017020253,14,-34.6037,-58.3816
2025-12-12 22:16:58.481743,PreciosClaros,leche descremada,Leche en Polvo Descremada Dia 800 Gr,DÍA,9100.0,9100.0,9100.0,800.0 gr,8480017297044,14,-34.6037,-58.3816
2025-12-12 22:16:58.481749,PreciosClaros,leche descremada,Leche en Polvo Descremada Fortificada La Serenisima 200 Gr,LA SERENÍSIMA,3235.0,3236.0,3235.0,200.0 gr,7790742436207,16,-34.6037,-58.3816
2025-12-12 22:16:58.481755,PreciosClaros,leche descremada,Leche en Polvo Descremada Fortificada La Serenisima 400 Gr,LA SERENÍSIMA,6523.0,6523.0,6523.0,400.0 gr,7790742436405,2,-34.6037,-58.3816
2025-12-12 22:16:58.481761,PreciosClaros,leche descremada,Leche Fermentada Parcialmente Descremada con Probioticos Frutilla Actimel 100 Gr,ACTIMEL,1725.0,1725.0,1725.0,100.0 gr,7791337007802,16,-34.6037,-58.3816
2025-12-12 22:16:58.481767,PreciosClaros,leche descremada,Leche Fermentada Parcialmente Descremada con Probioticos Multifruta Actimel 100 Gr,ACTIMEL,1725.0,1725.0,1725.0,100.0 gr,7791337007819,16,-34.6037,-58.3816
2025-12-12 22:16:58.481773,PreciosClaros,leche descremada,Leche Larga Vida Parcialmente Descremada Clasica 2% La Serenisima 1 Lt,LA SERENISIMA,2365.0,2365.0,2365.0,1.0 lt,7790742363206,16,-34.6037,-58.3816
2025-12-12 22:16:58.481779,PreciosClaros,leche descremada,Leche Larga Vida Parcialmente Descremada Liviana 1% La Serenisima 1 Lt,LA SERENISIMA,2365.0,2365.0,2365.0,1.0 lt,7790742363107,16,-34.6037,-58.3816
2025-12-12 22:16:58.481786,PreciosClaros,leche descremada,Leche Larga Vida Parcialmente Descremada Milkaut 1 Lt,MILKAUT,2100.0,2100.0,2100.0,1.0 lt,7794820903117,14,-34.6037,-58.3816
2025-12-12 22:16:58.481792,PreciosClaros,leche descremada,Leche Parcialmente Descremada 1% Uat 1 Lt,LA SERENÍSIMA,2480.0,2482.0,2480.0,1.0 lt,7790742335609,16,-34.6037,-58.3816
