timestamp,categoria,nombre,marca,precio,precio_min,precio_max,presentacion,sucursales
2025-11-21 21:40:14.942690,leche descremada,Leche en Polvo Descremada Dia 800 Gr,DÍA,8750.0,8750.0,8750.0,800.0 gr,23
2025-11-21 21:40:14.942697,leche descremada,Leche en Polvo Descremada Extra Calcio Svelty 370 Gr,SVELTY,7900.0,7900.0,8050.0,370.0 gr,3
2025-11-21 21:40:17.613469,yogur,Yogur Batido Descremado Clasico Vainilla La Serenisima 120 Gr,LA SERENÍSIMA,1049.0,1049.0,1150.0,120.0 gr,28
2025-11-21 21:40:17.613484,yogur,Yogur Batido Descremado con Durazno Familia Beaudroit 160 Gr,FAMILIA BEAUDROIT,2850.0,2850.0,2850.0,160.0 gr,2
2025-11-21 21:40:17.613491,yogur,Yogur Batido Descremado con Frutilla Familia Beaudroit 160 Gr,FAMILIA BEAUDROIT,2850.0,2850.0,2900.0,160.0 gr,3
2025-11-21 21:40:17.613497,yogur,Yogur Batido Descremado con Frutos Familia Beaudroit 160 Gr,FAMILIA BEAUDROIT,2850.0,2850.0,2900.0,160.0 gr,3
2025-11-21 21:40:17.613504,yogur,Yogur Batido Descremado con Mango y Maracuya Dahi 190 Gr,DAHI,2950.0,2950.0,2950.0,190.0 gr,1
2025-11-21 21:40:17.613510,yogur,Yogur Batido Descremado Natural Familia Beaudroit 160 Gr,FAMILIA BEAUDROIT,2750.0,2750.0,2750.0,160.0 gr,2
2025-11-21 21:40:17.613523,yogur,Yogur Batido Descremado Sab. Coco Dahi Pot 170 Grm,DAHI,1800.0,1800.0,1800.0,170.0 grm,1
2025-11-21 21:40:17.613529,yogur,Barra de Cereal Yogur Light Flow Cereal 20 Un 24 Gr,FLOW CEREAL,750.0,750.0,750.0,24.0 gr,3
2025-11-21 21:40:17.613535,yogur,Barra de Cereales con Yogur Frutos del Bosque Flow 27 Gr,FLOW,750.0,750.0,754.0,27.0 gr,5
2025-11-21 21:40:17.613541,yogur,Chocolate con Yogur Frutilla Cofler 64 Gr,COFLER,3700.0,3700.0,3700.0,64.0 gr,2
2025-11-21 21:40:17.613548,yogur,Tableta de Chocolate con Yogur Frutilla Cadbury 29 Gr,CADBURY,2550.0,2550.0,2600.0,29.0 gr,3
2025-11-21 21:40:17.613553,yogur,Tableta de Chocolate con Yogur Frutilla Cadbury 80 Gr,CADBURY,7000.0,7000.0,7000.0,80.0 gr,2
2025-11-21 21:40:17.613565,yogur,Tableta de Chocolate Yogur Frutilla Cadbury 160 Gr,CADBURY,12700.0,12700.0,12950.0,160.0 gr,2
2025-11-21 21:40:17.613571,yogur,Barr Frut Bosq Yogur,DIA,2070.0,2070.0,2070.0,3.0 ud,23
2025-11-21 21:40:17.613577,yogur,Dnn Yogurisimo Bebible Frutilla Fort 190gr,YOGURISIMO,2824.0,2824.0,3100.0,0.18 kg,28
2025-11-21 21:40:17.613583,yogur,Dnn Yogurisimo Bebible Vainilla Fort 190gr,YOGURISIMO,2824.0,2824.0,3100.0,0.18 kg,5
2025-11-21 21:40:17.613595,yogur,Yog.Beb.C/Prob.P/Desc.Sab.Fru. Yogurisimo Sch 1100 Grm,YOGURISIMO,5912.0,5912.0,6200.0,1100.0 grm,4
2025-11-21 21:40:17.613602,yogur,Yog.Beb.C/Prob.P/Desc.Sab.Vai. Yogurisimo Sch 1100 Grm,YOGURISIMO,5912.0,5912.0,6200.0,1100.0 grm,4
2025-11-21 21:40:17.613608,yogur,Yog.Beb.Sab.Natural Yogurisimo Sch 900 Grm,YOGURISIMO,5375.0,5375.0,5376.0,900.0 grm,25
2025-11-21 21:40:17.613614,yogur,Barra Frut C/Yogur,DIA,710.0,710.0,710.0,25.0 gr,23
2025-11-21 21:40:24.378078,arroz doble carolina,Arroz Doble Carolina Dos Hermanos 1 Kg,DOS HERMANOS,3700.0,3700.0,3700.0,1.0 kg,1
2025-11-21 21:40:24.378093,arroz doble carolina,Arroz Doble Carolina Lucchetti 1 Kg,LUCCHETTI,3783.0,3783.0,3783.0,1.0 kg,2
2025-11-21 21:40:24.378100,arroz doble carolina,Arroz Doble Carolina Molinos Ala 1 Kg,MOLINOS ALA,3350.0,3350.0,3350.0,1.0 kg,25
2025-11-21 21:40:24.378106,arroz doble carolina,Arroz Doble Carolina Molinos Ala 500 Gr,MOLINOS ALA,1950.0,1950.0,1950.0,500.0 gr,2
2025-11-21 21:40:24.378112,arroz doble carolina,Arroz Doble Carolina Seleccion Gallo 1 Kg,GALLO,4650.0,4650.0,4750.0,1.0 kg,4
2025-11-21 21:40:29.543525,arroz largo fino,Arroz Largo Fino 0000 Ciudad Del Lago 1 Kg,CIUDAD DEL LAGO,1750.0,1750.0,1750.0,1.0 kg,2
2025-11-21 21:40:29.543540,arroz largo fino,Arroz Largo Fino 00000 Dos Hermanos 1 Kg,DOS HERMANOS,1650.0,1650.0,1770.0,1.0 kg,3
2025-11-21 21:40:29.543548,arroz largo fino,Arroz Largo Fino 00000 Molinos Ala 1 Kg,MOLINOS ALA,1250.0,1250.0,1850.0,1.0 kg,25
2025-11-21 21:40:29.543554,arroz largo fino,Arroz Largo Fino 00000 Molinos Ala 500 Gr,MOLINOS ALA,790.0,790.0,790.0,500.0 gr,23
2025-11-21 21:40:29.543561,arroz largo fino,Arroz Largo Fino 00000 Rojo Carogran 1 Kg,CAROGRAN,1299.0,1299.0,1299.0,1.0 kg,2
2025-11-21 21:40:29.543567,arroz largo fino,Arroz Largo Fino 00000 sin TACC Maximo 500 Gr,MÁXIMO,800.0,800.0,800.0,500.0 gr,23
2025-11-21 21:40:29.543573,arroz largo fino,Arroz Largo Fino 00000 Vanguardia 1 Kg,VANGUARDIA,1250.0,1250.0,1599.0,1.0 kg,27
2025-11-21 21:40:29.543579,arroz largo fino,Arroz Largo Fino 00000 Vanguardia 500 Gr,VANGUARDIA,790.0,790.0,790.0,500.0 gr,23
2025-11-21 21:40:29.543585,arroz largo fino,Arroz Largo Fino Carmabe 1 Kg,CARMABE,1225.0,1225.0,1225.0,1.0 kg,23
2025-11-21 21:40:29.543591,arroz largo fino,Arroz Largo Fino Dos Hermanos 500 Gr,DOS HERMANOS,999.0,999.0,999.0,500.0 gr,2
2025-11-21 21:40:29.543598,arroz largo fino,Arroz Largo Fino Gallo 1 Kg,GALLO,2300.0,2300.0,2350.0,1.0 kg,2
2025-11-21 21:40:29.543623,arroz largo fino,Arroz Largo Fino Luchetti 1 Kg,LUCCHETTI,1836.0,1836.0,1900.0,1.0 kg,27
2025-11-21 21:40:29.543629,arroz largo fino,Arroz Largo Fino Luchetti 500 Gr,LUCCHETTI,1000.0,1000.0,1014.0,500.0 gr,4
2025-11-21 21:40:29.543635,arroz largo fino,Arroz Largo Fino sin TACC Maximo 1 kG,MÁXIMO,1525.0,1525.0,1525.0,1.0 kg,23
2025-11-21 21:40:29.543640,arroz largo fino,Arroz Grano Largo Fino Ita Caabo Molinos Ala 1 Kg,MOLINOS ALA,2570.0,2570.0,2600.0,1.0 kg,24
2025-11-21 21:40:32.336282,fideos guiseros,Fideos Guiseros Semolado Mostacholes Coto 500 Gr,COTO,1400.0,1400.0,1400.0,500.0 gr,2
2025-11-21 21:40:32.336295,fideos guiseros,Fideos Guiseros Semolado Mostacholes Cuidad del Lago 500 Gr,CIUDAD DEL LAGO,1050.0,1050.0,1050.0,500.0 gr,2
2025-11-21 21:40:32.336302,fideos guiseros,Fideos Guiseros Semolados Tirabuzon Coto 500 Gr,COTO,1400.0,1400.0,1400.0,500.0 gr,2
2025-11-21 21:40:32.336308,fideos guiseros,Fideos Guiseros Semolados Tortiglioni Delverde 500 Gr,DELVERDE,7150.0,7150.0,7150.0,500.0 gr,1
2025-11-21 21:40:32.336314,fideos guiseros,Fideos Guiseros Tirabuzon 3 Vegetales Lucchetti 500 Gr,MATARAZZO,1920.0,1920.0,2050.0,500.0 gr,28
2025-11-21 21:40:34.967627,aceite girasol 900,Aceite de Girasol Cañuelas 900 Cc,CAÑUELAS,3229.75,3229.75,3350.0,900.0 cc,26
2025-11-21 21:40:34.967643,aceite girasol 900,Aceite de Girasol Cocinero 900 Ml,COCINERO,3205.0,3205.0,3400.0,900.0 ml,28
2025-11-21 21:40:34.967652,aceite girasol 900,Aceite de Girasol Dia 900 Ml,DÍA,3090.0,3090.0,3090.0,900.0 ml,23
2025-11-21 21:40:34.967660,aceite girasol 900,Aceite de Girasol Legitimo 900 Ml,LEGÍTIMO,3000.0,3000.0,3109.0,900.0 ml,27
2025-11-21 21:40:34.967668,aceite girasol 900,Aceite de Girasol Lira 900 Cc,LIRA,3550.0,3550.0,3550.0,900.0 cc,1
2025-11-21 21:40:34.967676,aceite girasol 900,Aceite de Girasol Natura 900 Ml,NATURA,3455.0,3455.0,3650.0,900.0 ml,28
2025-11-21 21:40:34.967683,aceite girasol 900,Aceite de Girasol Pureza 900 Ml,PUREZA,3468.23,3468.23,3468.23,900.0 ml,2
2025-11-21 21:40:34.967691,aceite girasol 900,Aceite Mezcla Girasol y Oliva Cocinero 900 Cc,COCINERO,5440.0,5440.0,5440.0,900.0 cc,2
2025-11-21 21:40:34.967698,aceite girasol 900,Aceite Mezcla Girasol y Oliva Copisi 900 Ml,COPISI,4856.0,4856.0,4856.0,900.0 ml,2
2025-11-21 21:40:34.967705,aceite girasol 900,Aceite Mezcla Girasol y Oliva Blend Natura 900 Ml,NATURA,5750.0,5750.0,5850.0,900.0 ml,3
2025-11-21 21:40:37.474216,fideos,Fideos Ave Maria Lucchetti 500 Gr,LUCCHETTI,1500.0,1500.0,1550.0,500.0 gr,4
2025-11-21 21:40:37.474232,fideos,Fideos Ave Maria Matarazzo 500 Gr,MATARAZZO,1750.0,1750.0,1850.0,500.0 gr,4
2025-11-21 21:40:37.474239,fideos,Fideos Ave Maria Terrabusi 500 Gr,TERRABUSI,1120.0,1120.0,1120.0,500.0 gr,2
2025-11-21 21:40:37.474245,fideos,Fideos Bucatini La Molisana 500 Gr,LA MOLISANA,4450.0,4450.0,4450.0,500.0 gr,3
2025-11-21 21:40:37.474252,fideos,Fideos Bucattini Matarazzo 500 Gr,MATARAZZO,1750.0,1750.0,1850.0,500.0 gr,3
2025-11-21 21:40:37.474258,fideos,Fideos Cabello Angel,DIA,1795.0,1795.0,1795.0,500.0 gr,23
2025-11-21 21:40:37.474265,fideos,Fideos Cabello Angel al Huevo 308 500 Gr,308,2250.0,2250.0,2250.0,500.0 gr,1
2025-11-21 21:40:37.474271,fideos,Fideos Cabello de Angel de Semola 308 500 Gr,308,1982.0,1982.0,1982.0,500.0 gr,2
2025-11-21 21:40:37.474277,fideos,Fideos Cabellos de Angel Lucchetti 500 Gr,LUCCHETTI,2410.0,2410.0,2550.0,500.0 gr,5
2025-11-21 21:40:37.474283,fideos,Fideos Cabellos de Angel Matarazzo 500 Gr,MATARAZZO,2800.0,2800.0,2900.0,500.0 gr,27
2025-11-21 21:40:37.474289,fideos,Fideos Capellini La Molisana 500 Gr,LA MOLISANA,4450.0,4450.0,4450.0,500.0 gr,3
2025-11-21 21:40:37.474306,fideos,Fideos Caserito Don Vicente 500 Gr,DON VICENTE,3150.0,3150.0,3350.0,500.0 gr,28
2025-11-21 21:40:37.474313,fideos,Fideos Caseros al Pesto Coto 1 Kg,COTO,6799.0,6799.0,6799.0,1.0 kg,2
2025-11-21 21:40:37.474319,fideos,Fideos Cinta Ancha al Huevo Punta Mogotes 500 Gr,PUNTA MOGOTES,2054.0,2054.0,2054.0,500.0 gr,2
2025-11-21 21:40:37.474354,fideos,Fideos Cinta Nido al Huevo N1 308 500 Gr,308,2580.0,2580.0,2580.0,500.0 gr,2
2025-11-21 21:40:37.474361,fideos,Fideos Cinta Nido al Huevo N2 308 500 Gr,308,2580.0,2580.0,2580.0,500.0 gr,2
2025-11-21 21:40:37.474365,fideos,Fideos Cinta Nido al Huevo N3 308 500 Gr,308,2580.0,2580.0,2580.0,500.0 gr,2
2025-11-21 21:40:37.474372,fideos,Fideos Cintas Argentinas al Huevo 308 500 Gr,308,2257.0,2257.0,2257.0,500.0 gr,2
2025-11-21 21:40:37.474385,fideos,Fideos Codito Arcor 500 Gr,ARCOR,1800.0,1800.0,1800.0,500.0 gr,1
2025-11-21 21:40:37.474391,fideos,Fideos Codito Dia 500 Gr,DÍA,1180.0,1180.0,1180.0,500.0 gr,23
2025-11-21 21:40:40.323956,aceite girasol,Aceite de Girasol Cañuelas 1.5 Lt,CAÑUELAS,5124.0,5124.0,5125.0,1.5 lt,25
2025-11-21 21:40:40.323971,aceite girasol,Aceite de Girasol Cañuelas 900 Cc,CAÑUELAS,3229.75,3229.75,3350.0,900.0 cc,26
2025-11-21 21:40:40.323978,aceite girasol,Aceite de Girasol Cocinero 1.5 Lt,COCINERO,5075.0,5075.0,5250.0,1.5 lt,27
2025-11-21 21:40:40.323985,aceite girasol,Aceite de Girasol Cocinero 900 Ml,COCINERO,3205.0,3205.0,3400.0,900.0 ml,28
2025-11-21 21:40:40.323991,aceite girasol,Aceite de Girasol Dia 1.5 Lt,DÍA,4890.0,4890.0,4890.0,1.5 lt,23
2025-11-21 21:40:40.323998,aceite girasol,Aceite de Girasol Dia 900 Ml,DÍA,3090.0,3090.0,3090.0,900.0 ml,23
2025-11-21 21:40:40.324004,aceite girasol,Aceite de Girasol Legitimo 1.5 Lt,LEGÍTIMO,4800.0,4800.0,5015.0,1.5 lt,27
2025-11-21 21:40:40.324010,aceite girasol,Aceite de Girasol Legitimo 900 Ml,LEGÍTIMO,3000.0,3000.0,3109.0,900.0 ml,27
2025-11-21 21:40:40.324016,aceite girasol,Aceite de Girasol Lira 900 Cc,LIRA,3550.0,3550.0,3550.0,900.0 cc,1
2025-11-21 21:40:40.324022,aceite girasol,Aceite de Girasol Natura 1.5 Lt,NATURA,5474.0,5474.0,5650.0,1.5 lt,27
2025-11-21 21:40:40.324028,aceite girasol,Aceite de Girasol Natura 900 Ml,NATURA,3455.0,3455.0,3650.0,900.0 ml,28
2025-11-21 21:40:40.324041,aceite girasol,Aceite de Girasol Pureza 1.5 Lt,PUREZA,5475.0,5475.0,5475.0,1.5 lt,23
2025-11-21 21:40:40.324047,aceite girasol,Aceite de Girasol Pureza 900 Ml,PUREZA,3468.23,3468.23,3468.23,900.0 ml,2
2025-11-21 21:40:40.324054,aceite girasol,Aceite de Girasol Rocio Vegetal en Aerosol Coto 120 Gr,COTO,3600.0,3600.0,3600.0,120.0 gr,1
2025-11-21 21:40:40.324060,aceite girasol,Aceite Mezcla Girasol y Oliva Blend Natura 1.5 Lt,NATURA,9039.0,9039.0,9039.0,1.5 lt,2
2025-11-21 21:40:40.324065,aceite girasol,Aceite Mezcla Girasol y Oliva Blend Natura 900 Ml,NATURA,5750.0,5750.0,5850.0,900.0 ml,3
2025-11-21 21:40:40.324071,aceite girasol,Aceite Mezcla Girasol y Oliva Cocinero 1.5 Lt,COCINERO,8985.0,8985.0,8985.0,1.5 lt,2
2025-11-21 21:40:40.324078,aceite girasol,Aceite Mezcla Girasol y Oliva Cocinero 900 Cc,COCINERO,5440.0,5440.0,5440.0,900.0 cc,2
2025-11-21 21:40:40.324090,aceite girasol,Aceite Mezcla Girasol y Oliva Copisi 900 Ml,COPISI,4856.0,4856.0,4856.0,900.0 ml,2
2025-11-21 21:40:40.324096,aceite girasol,Aceite Rocio Vegetal Girasol Cañuelas 150 Gr,CAÑUELAS,3913.32,3913.32,3913.32,150.0 gr,1
2025-11-21 21:40:43.079693,azucar,Azucar Bajas Calorias Chango 500 Gr,CHANGO,2550.0,2550.0,2600.0,500.0 gr,3
2025-11-21 21:40:43.079708,azucar,Azucar Comun Azucel 1 Kg,AZUCEL,1040.0,1040.0,1191.0,1.0 kg,25
2025-11-21 21:40:43.079715,azucar,Azucar Cuisine & Co 1 Kg,CUISINE & CO,1230.0,1230.0,1230.0,1.0 kg,3
2025-11-21 21:40:43.079722,azucar,Azucar Domino,DOMINO,1150.0,1150.0,1150.0,1.0 kg,23
2025-11-21 21:40:43.079728,azucar,Azucar Impalpable,DIA,585.0,585.0,585.0,100.0 gr,23
2025-11-21 21:40:43.079734,azucar,Azucar Impalpable,LAPAR,975.0,975.0,975.0,100.0 gr,2
2025-11-21 21:40:43.079741,azucar,Azucar Impalpable Blanca Pergola 250 Gr,PERGOLA,1300.0,1300.0,1350.0,250.0 gr,2
2025-11-21 21:40:43.079746,azucar,Azucar Impalpable Bolsa Dos Anclas 300 Gr,DOS ANCLAS,2420.0,2420.0,2550.0,300.0 gr,3
2025-11-21 21:40:43.079752,azucar,Azucar Impalpable Chango 250 Gr,CHANGO,1600.0,1600.0,1650.0,250.0 gr,3
2025-11-21 21:40:43.079759,azucar,Azucar La Campechana Paq 1 Kgm,LA CAMPECHANA,990.0,990.0,990.0,1.0 kgm,2
